image_path,dataset,product_type,defect_type,label,split,defect_group,defect_type_label,binary_label
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/wood/train/good/228.png,mvtec,wood,good,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/hazelnut/train/good/320.png,mvtec,hazelnut,good,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/screw/train/good/315.png,mvtec,screw,good,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/grid/test/bent/011.png,mvtec,grid,bent,1,train,deformation,2,1
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/pill/test/combined/002.png,mvtec,pill,combined,1,train,deformation,5,1
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/screw/test/scratch_neck/000.png,mvtec,screw,scratch_neck,1,train,scratch,6,1
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/ok_front/cast_ok_0_7662.jpeg,casting,casting_product,ok,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/carpet/test/color/007.png,mvtec,carpet,color,1,train,scratch,7,1
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/def_front/cast_def_0_499.jpeg,casting,casting_product,defect,1,train,defect,-1,1
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/ok_front/cast_ok_0_3544.jpeg,casting,casting_product,ok,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/hazelnut/test/cut/009.png,mvtec,hazelnut,cut,1,train,cut,1,1
/home/sufi/.cache/kagglehub/datasets/alex000kim/magnetic-tile-surface-defects/versions/1/MT_Free/Imgs/exp4_num_10957.jpg,magnetic,magnetic_tile,free,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/grid/train/good/107.png,mvtec,grid,good,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/test/ok_front/cast_ok_0_2803.jpeg,casting,casting_product,ok,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/alex000kim/magnetic-tile-surface-defects/versions/1/MT_Blowhole/Imgs/exp4_num_7036.png,magnetic,magnetic_tile,blowhole,1,train,hole_void,4,1
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/cable/train/good/056.png,mvtec,cable,good,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/def_front/cast_def_0_6393.jpeg,casting,casting_product,defect,1,train,defect,-1,1
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/capsule/test/good/022.png,mvtec,capsule,good,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/alex000kim/magnetic-tile-surface-defects/versions/1/MT_Blowhole/Imgs/exp4_num_108774.jpg,magnetic,magnetic_tile,blowhole,1,train,hole_void,4,1
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/transistor/test/misplaced/003.png,mvtec,transistor,misplaced,1,train,deformation,5,1
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/ok_front/cast_ok_0_3185.jpeg,casting,casting_product,ok,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/ok_front/cast_ok_0_6947.jpeg,casting,casting_product,ok,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/def_front/cast_def_0_7737.jpeg,casting,casting_product,defect,1,train,defect,-1,1
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/cable/train/good/086.png,mvtec,cable,good,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/alex000kim/magnetic-tile-surface-defects/versions/1/MT_Free/Imgs/exp2_num_337671.png,magnetic,magnetic_tile,free,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/capsule/train/good/110.png,mvtec,capsule,good,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/alex000kim/magnetic-tile-surface-defects/versions/1/MT_Free/Imgs/exp4_num_280258.jpg,magnetic,magnetic_tile,free,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/ok_front/cast_ok_0_5783.jpeg,casting,casting_product,ok,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/def_front/cast_def_0_8880.jpeg,casting,casting_product,defect,1,train,defect,-1,1
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/test/ok_front/cast_ok_0_927.jpeg,casting,casting_product,ok,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/def_front/cast_def_0_7177.jpeg,casting,casting_product,defect,1,train,defect,-1,1
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/wood/train/good/127.png,mvtec,wood,good,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/def_front/cast_def_0_2336.jpeg,casting,casting_product,defect,1,train,defect,-1,1
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/def_front/cast_def_0_5310.jpeg,casting,casting_product,defect,1,train,defect,-1,1
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/pill/train/good/068.png,mvtec,pill,good,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/ok_front/cast_ok_0_4438.jpeg,casting,casting_product,ok,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/def_front/cast_def_0_7592.jpeg,casting,casting_product,defect,1,train,defect,-1,1
/home/sufi/.cache/kagglehub/datasets/alex000kim/magnetic-tile-surface-defects/versions/1/MT_Free/Imgs/exp2_num_280233.png,magnetic,magnetic_tile,free,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/def_front/cast_def_0_9311.jpeg,casting,casting_product,defect,1,train,defect,-1,1
/home/sufi/.cache/kagglehub/datasets/alex000kim/magnetic-tile-surface-defects/versions/1/MT_Free/Imgs/exp5_num_53060.jpg,magnetic,magnetic_tile,free,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_512x512/casting_512x512/ok_front/cast_ok_0_4450.jpeg,casting,casting_product,ok,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_512x512/casting_512x512/def_front/cast_def_0_9025.jpeg,casting,casting_product,defect,1,train,defect,-1,1
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/def_front/cast_def_0_7093.jpeg,casting,casting_product,defect,1,train,defect,-1,1
/home/sufi/.cache/kagglehub/datasets/alex000kim/magnetic-tile-surface-defects/versions/1/MT_Free/Imgs/exp3_num_304882.png,magnetic,magnetic_tile,free,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/capsule/test/scratch/006.png,mvtec,capsule,scratch,1,train,scratch,6,1
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/def_front/cast_def_0_7198.jpeg,casting,casting_product,defect,1,train,defect,-1,1
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/carpet/train/good/133.png,mvtec,carpet,good,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/tile/test/glue_strip/012.png,mvtec,tile,glue_strip,1,train,contamination,0,1
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/grid/train/good/224.png,mvtec,grid,good,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/def_front/cast_def_0_2467.jpeg,casting,casting_product,defect,1,train,defect,-1,1
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/def_front/cast_def_0_8171.jpeg,casting,casting_product,defect,1,train,defect,-1,1
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/def_front/cast_def_0_3133.jpeg,casting,casting_product,defect,1,train,defect,-1,1
/home/sufi/.cache/kagglehub/datasets/hycloud/mvtech-anomaly-detection/versions/1/mvtech_anomaly_detection/bottle/test/contamination/006.png,mvtec,bottle,contamination,1,train,contamination,0,1
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/ok_front/cast_ok_0_1144.jpeg,casting,casting_product,ok,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/ok_front/cast_ok_0_3305.jpeg,casting,casting_product,ok,0,train,normal,-1,0
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/test/def_front/cast_def_0_221.jpeg,casting,casting_product,defect,1,train,defect,-1,1
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/def_front/cast_def_0_3853.jpeg,casting,casting_product,defect,1,train,defect,-1,1
/home/sufi/.cache/kagglehub/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product/versions/2/casting_data/casting_data/train/def_front/cast_def_0_4307.jpeg,casting,casting_product,defect,1,train,defect,-1,1
